ID,Bus,Average Period (s),Average LEN (byte),Hidden Meaning,ASILs,ID_Score,Average Period (s)_Score,Average LEN_Score,ASILs_Score,Weighted_Score
0000020A,0,1,6,High-voltage contactor status information.,C,12.79279279,0,60,40,28.88148649
232,0,1,8,Battery management system contactor request information.,C,17.64864865,0,80,40,33.86781622
0000024A,0,1,1,Driver assistance system visual debugging information.,QM,20.32432432,0,10,100,36.88750811
0000022A,0,0.1,4,High-voltage power control system information.,C,17.35135135,90,40,40,39.78218378
000001D6,0,0.1,6,Drive system limitation information.,C,8.927927928,90,60,40,39.91626486
126,0,0.1,7,Rear high-voltage status information.,C,5.162162162,90,70,40,40.14625405
000002D3,0,1,8,Solar data information.,C,35.09009009,0,80,40,40.24091892
332,0,1,6,Battery cell minimum/maximum voltage information.,C,44.20720721,0,60,40,40.36031351
273,0,0.4,8,Vehicle control information.,D,24.88288288,60,80,20,40.38120541
0000013D,0,0.01,6,Charging status information.,C,7.045045045,99,60,40,40.47295946
119,0,0.1,2,Window request information.,A,4.072072072,90,20,80,40.57393514
108,0,0.1,8,Drive system torque information.,C,2.882882883,90,80,40,40.91940541
300,0,1,8,Battery management system information.,C,37.07207207,0,80,40,40.96513514
0000004F,0,1,8,GPS latitude and longitude information.,QM,1.396396396,0,80,100,41.21324324
000001A5,0,0.1,7,Front high-voltage status information.,C,8.234234234,90,70,40,41.26878919
227,0,0.1,8,Compressor status information.,D,16.16216216,90,80,20,41.34365405
82,0,1,8,Trip planning information.,QM,1.792792793,0,80,100,41.35808649
242,0,0.1,2,Left low-voltage power status information.,B,18.83783784,90,20,60,41.54134595
312,0,1,8,Battery management system thermal information.,C,39.64864865,0,80,40,41.90661622
225,0,0.1,3,Right low-voltage power status information.,B,15.76576577,90,30,60,42.02481081
315,0,1,8,Rear inverter temperature information.,C,40.44144144,0,80,40,42.1963027
118,0,0.01,8,Drive system status information.,C,3.675675676,99,80,40,42.45379189
229,0,0.1,3,Gear lever information.,B,16.95495495,90,30,60,42.45934054
